ID,review_body,sentiment
6111,I use it and it works great.,positive
98936,"McAfee is a good product, but even better buying it here. I went online to purchase this product and after I went to Amazon and compared the price difference I was shocked! McAfee will keep your P C running clean!",positive
88482,This is the best RC trainer I have seen.  It isn't perfect but it definitely helps with learning to fly a RC plane or copter.,positive
125042,Easy to use and does everything I expected. I have LPs dating to the 50s and I have already converted about 30 to CDs. In some cases I was able to get two LPs on one CD which is great for my two LP albums (total CD space is 80 minutes).,positive
16184,Have used this product before and it does a GREAT job.  Got a great price for it on Amazon,positive
32882,It has very good editing tools. I bought this because the Photo Expressions Platinum 5 did not have what I needed,positive
47447,"I have used Quark Express for years.  This program is almost as good and a fraction of the cost.  I think Serif Page Plus is an excellent program for most people, even professionals.",positive
78952,Software performed great. Finished taxes in record time. Great product.<br />Will purchase again next year for sure. excellent  software had no problems.,positive
83066,"Great product and easy to use, plan on learning all that I can with this system. there are book to even help you to be proficient with Lightroom 4.",positive
68464,No surprise - The 2012 version is as good as past years.  No issues.  I will do my 2013 taxes with this same software also.,positive
118547,"A GREAT PRODUCT, WORTH THE MONEY. THE SOFTWARE IS COMPATABLE WITH VISTA. LOADED IN BREEZE.. HAD PROJECTS GOING IN NO TIME. THIS IS WORTH THE MONEY. HIGHLY RECOMMEND. BRODERBAUN AS ALWAYS WORKS THE MAGIC..",positive
33264,Very good product works perfectly fine,positive
110266,This Arthur CD is fun to play with on your computer.  The games are educational and keep your interest.  I received this CD in the mail in a timely manner and in good condition.  Thank you.,positive
104175,"Ecellent product.  Great solution to organizing paper and creating pdfs on windows 7.  The windows scanner makes tiffs, and they are very hard to deal with.  Have always loved the Paperport products.",positive
53787,"After having some issues with my previous Antivirus software its great to have one that just works away in the background, does an excellent job and is good value for the money. Recommend.",positive
128659,"Great!  Nice scenery, some tough items to find.  All in all, my granddaughter (age 5 1/2) and I have had a lot of fun playing this game!",positive
23181,So far so good I'm very happy I purchased this.,positive
101179,"I just hope they activate on my steam account.  It would be nice to play these games again, it has been years since I beat them on my long dead PS2 console.",positive
449,Office 365 works great and saves time,positive
99827,"This is exactly what I ordered, and it was packaged perfectly.  I would buy from this vendor again.  Thank you for everything.",positive
126827,"If you want to add royalty free background music to you video this is the way to go, especially if you are using Vegas. It is a seamless plugin, and there is a good selection of music on the program CD.",positive
73527,"Good game , good graphics, good story line as well as plots. Its  a good game for those who like role playing games.",positive
47543,Excellent product. No issues with porting over from my Dell to my Mac. This product works I highly recommend the product.,positive
92574,"Was able to capture most Beta & VHS video and move to DVD, the editing features are good but do have some limitations. Overall well satisfied...",positive
35761,Office 2011 for Mac is a greatly improved version.,positive
26655,"I've been building boxes for 20 years and I've never built one that didn't get Norton. It's foolproof, and I've never had a problem with it. Excellent!!",positive
115919,This disc got here in mint condition and very fast. It has helped my daughter a great deal and recommend it to any geometry honor student.,positive
42157,Tis good and easy to use it is very simple and camels are good with wing because of their scarves,positive
79699,I have never used Norton before and have only had it for less than a week now.  so far so good.  lots of useful tips,positive
35476,Good product.  Good service.,positive
50793,"I use this every week in my college classes. I love that it is for up to three computers. I have it on my home computer and laptop now. It is nice to be able to switch between the two for papers that come due. Great price, seller and shipping.",positive
79741,For my usage this software is a very excellent program. I use it for hanging on the wall for a quick look at the date and making notes on it.,positive
13378,Excellent for the price. Love it,positive
103870,Excellent review. I am listening to them in my car or at home - she has a way of getting you to remember the important material in a logical way.,positive
75974,The disk worked perfectly to repair a windows 7 laptop that would not boot up.  Well worth the money spent.,positive
13977,"Very good job, but I think my PC is beyond hope.  Still, it is MUCH improved and considerably faster.",positive
20607,"Great product.  I used to have Microsoft Photosuite 9, and liked using it.  I was glad to find something so similar.",positive
55573,Great game! Really liked the Elvis!  The hidden object game's are great for retired people like me! Great price at Amazon!,positive
37391,Great product as always. Will buy more as the years go by.,positive
