ID,review_body,sentiment
24557,Waste of money. Didn't do anything I thought it would.,negative
103605,This software is really dated. Finally got it to work on Windows 7 but the graphics and displays are really bad.,negative
112974,"Total waste of money, doesn't work at all. If you want a good DVD copy software, try clone DVD slysoft!!",negative
14568,"It doesn't play well, I don't like it",negative
1473,Won't print my document! updated driver and software and tried using 2 different printers... just wont print document. Waste of my time and $$$.,negative
98789,This disk is available BRAND NEW from the MacGamut website for $40. Don't buy off of here. I also think that the program has lots of flaws in it. It is absolutely frustrating.,negative
59595,My computer came installed with windows 8 i absolutely hate it. going to have to pay for windows 7... SMH,negative
35496,"I was a little disappointed. I have used the software as a public school teacher in the past. This software display is only 1/4 of the entire scree, therefore I don't feel that the children get the full effect of it's content.",negative
4254,Doesn't even work with any windows after Windows 95....,negative
24517,"Immediate response to purchase product, but unable to get customer support when product won't download properly.  Over an hour wasted on hold listening to elevator music.",negative
74354,It's too bad this wonderful talking dictionary won't install on my new computer. I used it constantly.  I am still looking for a newer version.,negative
112526,I should have listened to the others. This was very frustrating and a real waste of time.,negative
90917,"A Nero 12 update installed AVG bloatware despite opting out of it. Created conflicts with AVG for searchs and anti-virus. One AV program is good, more is very bad; and unrelated to burining DVDs.",negative
15299,"Bad,, I  ended up being charge too much",negative
74053,I was very disappointed with this product.  I specifically wanted it to make name cards.  The program was too confusing and wasted my time and paper.  I am sorry that I purchased it.,negative
133334,"Installing this product on my Win 98 system caused it to crash. Spending 4 - 5 hours on the phone with support personnell<BR>didn't help, it was so badly ruined. I had to do a quick restore and start over, loosing nearly everything on my computer.",negative
17563,Horrible software takes too much control of your taxes,negative
101893,I was looking for a way to play DVDs on my netbook.  These utilities were practically useless.  don't waste your time.,negative
42598,"Worst release of windows ever, although Win8 makes a good arguement for that title too. Atleast Win8 doesn't hog resources & starts faster.",negative
133333,"Installing this product on my Win 98 system caused it to crash. Spending 4 - 5 hours on the phone with support personnell<BR>didn't help, it was so badly ruined. I had to do a quick restore and start over, loosing nearly everything on my computer.",negative
26566,After a few washes the top doesn't seal anymore.,negative
42168,"Roxio has been bad for Labeling Lightscribe for a longtime, I kept trying to get something that works, forget it with Roxio!!!!!<br />I bought Surething 6 and it works great.",negative
129475,I bought this at Office Depot and I fell for the low price.  Easy review folks - it just doesn't work Don't buy it,negative
16862,it was a waste of money. diddnt barley work and i have a top of the line computer.<br />wish i could get a refund for my 13 bucks. definatly a waste of time,negative
39828,"Cheap, imprecise tool - a waste of money.",negative
83182,Don't buy this product if you need to file for an EV credit (Form 8936).  Incomplete product.  According to the customer service representative the only way to file and get this  credit is to print a copy and file by mail.  Poor product design.,negative
76,If this is version 10....it's pure garbage. Don't waste your money,negative
26002,Two games don't work at all!,negative
72029,"I opened this program once, and with my dual monitor setup, it was terribly slow, and attempting to resize or move windows didn't work.  I expected more . . . . much more.  Don't bother if you are running Windows 7.",negative
61235,This game doesn't work past setup and I've tried it on two different systems! I keep getting an error message every time I try to run the game! How lame is that?,negative
3822,"If you need a hobby and want to spend a lot of time learning a software tool, this is for you.  If you want a better web site than the pre-made templates out there but don't want to become a web master, then skip it.",negative
48615,This was a waste of my money and my time if I could return it I would in a heartbeat !!! I only gave it one start because I had to .... It's dated and doesn't even work . I feel cheated that they even still offer this,negative
129994,"Purchased in Aug 2005 - CDs and documentation claim support for XP - installed, but won't launch; when you to the IMSI webpage for support - this doesn't show as a product supported - so I assume it is discontinued?  Can't recommend.",negative
36687,It doesn't work and I would like my money back or one that will  work,negative
129926,"A TEXT BOOK CASE OF \\""YOU GET WHAT YOU PAY FOR\\"". PURCHASED SOFTWARE AT LOCAL ELECTRONICS STORE. WORKED FOR ABOUT 2 WEEKS AND THEN JUST QUIT. VERY TEMPERMENTAL AND A WASTE OF MONEY. GET A GOOD QUALITY PRODUCT AND FORGET THIS ONE.",negative
3399,Don't like the fact I need to access internet to use product...!!!<br />Delivery time good...thanks,negative
20366,It installs and works but all widows programs installed are extremely slow. Don't use it any more.,negative
91342,Simply didn't work. I should have listened to the other reviews. Wasted three weeks emailing with Roxio support. Support ranged from a waste of time to condescending. Eventually insinuated the problem was my computer (less than one year old Dell).,negative
19707,This 4.0 version on disc is unusable as it consistently freezes the computer and various functions don't work.  The online version does appear to work.,negative
51613,"If you don't have a touch screen, then get Windows 7. I wish I could downgrade, but you can only do that with &#34;Professional&#34;. You live and learn, I guess.",negative
129146,"It is mind boggling that a company with as much experience as Pinnacle could make a product this bad. Evidently Pinnacle thinks \\""upgrade\\"" means making something 100 times worse than the previous version.",negative
19328,This is the worst and most frustrating operating software ever.  If you want your phones operating software on your PC get this.  If you want your PC to act like a PC get anything else.  This is absolutely horrible.,negative
36274,"sucks, don't waste your money",negative
60408,This company and the software constantly false-flag websites. The tech support in unhelpful and will refuse to remove the sites form blacklists. Don't buy this software and uninstall it if you have it.,negative
34191,"I returned the program to Amazon since I couldn't get Kaspersky website to register the product. I had a techy help me and with a combination of security items available free, online, I found I don't need Kaspersky any longer.",negative
121334,"I recently purchased Word 2008.  I find it to be confusing and to have an overload of choices that I don't need.  I can't seem to make Word do simple things.  In short, I hate it and want my old Word back!",negative
89814,My laptop is too new for the games to work. The owner should have mentioned that. I cant play any of the games so I wasted my money.,negative
134245,"use a real linux distribution, in your main pc, whit ext2 partition, and whit all your documents secure, and use your old computer to play with  windows. don't play with linux",negative
98550,They are selling a game that is out of date.  Don't buy it.  Version 12 has been out for almost a year and version 13 is about to be released.  Pre-orders are being taken at the OOP website.,negative
107467,"As always, Apple products are elegant and easy to use but this version doesn't offer much of an upgrade over the previous version, so where I really like the software and it works as advertised without fail, I feel it was a bit expensive.",negative
133924,What a mistake this puchase was. It brought down my system 4 times and when it did work it was as slow as dirt. I had to buy the CD to try to save some of the many hours I wasted the the zip disk. STAY AWAY FROM THIS PRODUCT!,negative
61804,"It is a some-what good logbook, but people don't mention,<br /> - it's a bit bloated software<br /> - it comes with just 3 years licence, so you have to buy again after that.",negative
106962,"I read most of the reviews already posted, and I weigh more to the hate side of this product. that's why I call it nero-zero.",negative
95031,Freezes crashes makes me insane (PC User) waste of money. My computer is brand new and this software is making me I crazy,negative
83483,Take your PC to your friendly neighborhood PC repair guy and get him to reinstall Vista / 7 / even 8.  Far easier and more successful than this waste of 20 bucks.,negative
17157,"It changes every other day, something new appears. It doesn't do what XP did, I can't copy and paste to other files and I can't save cards I make from my American Card disc. I always says an error has occurred. I don't like it as it's frustrating.",negative
65262,I purchased for MAC and It doesn't work<br /><br />I don't want to spend my time returning it!<br /><br />I knew cheap product don't work,negative
78832,"This product only works on really old computers, so don't try to use it on anything later than Windows XP.",negative
22194,doesn't fit into my laptop.,negative
60680,waste of my money  i should have heeded the other reviews...I have used a lot of printing products this is so basic it should be free...don't buy,negative
105988,"Beware, though this product page says it works on a Mac, it in fact is PC only. I don't see why they couldn't put both versions on the same disc.",negative
91128,Bought this to update my PC Tools... only the key code doesn't work. I tried several time to load the program without luck.,negative
9352,This product came without a registration code.  If you don't have a code you can't install it.  Returned.,negative
116529,All this thing does is let you copy an unprotected DVD. Very limited functionality.  I need to burn a DVD from video files on my PC; this software doesn't do that.,negative
121496,"The manufacturer evidently doesn't offer support for this product, and the company that they referred us to is hard to reach / get help from.",negative
56551,Don't waste your money.  Used it for presentations but it left me holding the bag one to many times.  LOTS of bugs.  Crashed 3 times.  They released this way too soon.  Its also is very slow.,negative
3413,"This didn't work on our computer, even though it says we should have the proper specs. Very disappointing, and basically a waste of money. They should make it in a more updated version.",negative
54541,This Item has obviously been used before. Had to get a magnifying glass to read the product key code from label and then tried to install the product which froze every time it started putting startup files on the computer.  Wasted my money on this.,negative
74492,With all the games out there today I was expecting a little more...I think I have even uninstalled it on my computer at this point and plan to add it to the yard sale stuff. Don't waste your money,negative
107568,"From its launch, this application was unstable, unusable and nearly unsupported.  However, after some patches it upgraded to just being simply bad.",negative
131321,My computer crashed multiple times. Frustrated I looked for online reviews to see if it was my computer or the software. Well..it is the program...this is a joke. Don't even bother.,negative
128531,"This was the most disappointing and useless purchase ever. Despite exhausting voice training, it typed everything except what I said. Don't waste your money. I would'nt even give it one star.",negative
29791,Rated F on the better business bureau    Don't do it....they will auto charge you.  Do the research.    [...],negative
49747,Unless you are already a Pro with editing  don't get this!<br />Very difficult to understand the basic principals of how use this software,negative
131878,"Don't be left out with what 99% of personal computer users enjoy.  Stick with the mainstream.  Be part of the masses.  Windows XP is faster, more stable, and has more options than Mac will ever have.  Why should you feel left out?",negative
131684,Trying to get this software to do its job was just total aggravation.  All I did was waste time and money trying to get to do what it's advertised to do. I went back to re-loading software manually.,negative
133810,Please save your money and don't buy this version.  I shelled out the $.. to burn VCD's and all is does is hang.  Version 4.1 works fine.  The extra money you spend for all the new bells and whistles you might as well just set fire to it.,negative
124804,Costumer service is a complete oxymoron with this company.  If you want to waste half your time then buy this for sure.  Pencil and paper work better than this product and are more reliable.,negative
12687,"It's a piece of garbage, doesn't keep my tea warm.  My 10 year old plug in unit works much, much better.  Don't waste your money.",negative
17749,"What a piece of crap! Despite what other reviews say it DOESN'T work on a MAC. I hsve a brand new computer and all this disc does is spin, spin, spin. Avoid this software like the plague!",negative
78286,As an experienced user and a big fan of Windows 7 I made the HUGE mistake of upgrading to Windows 8.  Can't even begin to tell you how much I absolutely hate it. If I can't switch back to Windows 7 I am going over to the Apple camp.,negative
40434,Badly formatted. Very difficult to just scan through the files.,negative
108852,"Microsoft has discontinued this program, and offers the new, free program in it's place. Security essentials is the new name. Don't buy this and waste your money. Google the Live One and see for yourself.",negative
75740,The product code doesn't work for my product either. Very frustrating to buy something worth 400+ $ and have the initial registration fail.,negative
7865,Cheaply constructed.  Audio sounds awful.  When I use it on a mobile phone the person I'm talking to gets a bad echo.,negative
70012,I have a new computer with windows 8 and this doesn't work on it.  .Is there  one that works with windows 8,negative
128493,"Wish I'd read the reviews before buying this at a big-box wharehouse store.  The reviews here aren't too extreme.  \\""Fuggedaboudit.\\""  <br />  Too bad, 'cause some of the other Roxio products (bundled) work fine...",negative
103955,This product is horrible. Don't buy it. Buyer beware if you do. They don't send a 30 day refund as promised.,negative
