id,prediction_bert,review_body
86341,positive,"as usual, turbo tax meets all my tax preparation expectations.  it asks all the right questions to make sure i enter in everything necessary to file my taxes and take advantage of all deductions.  great job turbo tax"
109919,negative,"don't buy this product if you are expecting the comprehensive application from earlier years.  this is named the same (just different year), but lacks the very important ability to produce living trusts."
23430,positive,great educational software
79562,negative,os 10.5.6 would not allow applications in ilife to open.<br />glitches with quicken 2006 had to be corrected.<br />don't know other applications that are problems because i haven't tried to open most of the lesser used ones.
111766,negation,i am very disappointed in this product.  my computer is still very slow starting and running.  i have seen absolutely no difference in the preformance of my computer.
40421,negative,no! i still can't get it to work right! the first registration # didn't work. company gave me a new one but it plays without responding to the answers you have given.
53942,sarcastic,"initially it never arrived i suppose due to christmas,but after contacting them they sent me a download code which was very helpful<br />and eventually the software arrived ,so jolly good show everyone was happy in the end."
30887,negative,not compatible with my computer.  a total waste of money.
20943,negative,it said it would work on any windows 8 but it don't work on mine
76374,negative,"i am very proficient with computers and most software.  this is not user friendly! their tutorial is a joke.  under the user guide, it doesn't talk about half the things it advertises.  frustrating-don't purchase!"
7236,positive,arrived quickly (gotta love prime!) and works great.  does just what it is supposed to and very easy to install and use.
37370,negative,cd didn't work properly i emailed seller to help with installation was helpful at all i emailed for refund back no response waste of money and time
53093,negative,"wasted time and money trying to get this to work.  bling support instructions also did not work.  save your time and money, and do not buy."
7032,negation,can not download key code from c d.
45601,negation,"the saller is a professional person. he treated me as good as a saller should. but  the software  was not usefull to me. go the web and see yourself. if i knew, i would had not not not purchase  this software.i say kisp."
73554,positive,"did all my old vhs tapes,works great.would have done this before if i know it was tha easy. going to do my friends now."
57334,negative,"for whatever reason, i was unable to install this into my computer, which was very disappointing.  i don't like useless products."
37695,positive,"love it! i'm still working out the commands. the only thing i'd note is that it doesn't have a direct command link into onenote (used by many students). if it had that, you'd only hear good things from me."
129574,negative,i upgraded to 7.0 pro because of the advertised autocad enhancements.  what they failed to say is that it does not work for autocad lt.  there is no advantage over 5.0 for my needs.  a total waste of money for me.
128496,negation,"this program installed fine, except when i went into the program, it wouldn't let me put a single dvd on it.  it says it is css encripted.  did you know that the only dvds thar r not css encripted are home videos."
110587,neutral,"has a very nice \\""game of four winds\\"".  if you try to buy that game separately it is $40 or more; here under $20."
48241,negative,still haven't been able to open the cd. doesn't come with instructions. wrote 3 times to printedtree publishing and still no answer. won't recommend  this product
131484,negative,i have had a terrible time getting this program to run.  it constantly shuts down or comes up with errors.  it was a total waste of money as far as i am concerned.
65773,positive,it's an excellent video because really do a great job of giving you keen understanding. i would highly recommend to anyone.
53533,negative,i tried to install on 3 computers both pc and mac and it would not work. don't waste your money
122026,positive,leopard is awesome.  the new features are great and the you can't beat the price.
25338,multipolarity,"i gave this 2 stars because norton has bad customer service now.  it used to be awesome, but now it costs extra to get any type of help.  i will be purchasing a different security system next year."
54168,negative,"the documentation is virtually nonexistent.  what does this product actually do?  it won't undelete any files, that much i know.  os x comes with its own disk checker and corrector.<br /><br />my advice: don't waste your money."
45290,negative,the games were the worst games that i have every purchased from anywhere! never buy from them again! the games don't even work all the way!
18290,positive,these were fun to play i like them it really good games
7378,negative,stupid! waste a lot of my time looking for the series number.
90560,positive,"if you can't afford the price of photoshop, this is the product to get.  paint shop pro can do everything that photoshop does at 1/4 the cost.  it's a great product that i still use to this day!"
5067,positive,works great and it makes it possible to save those old vhs home movies to cd. you do have to get the patch program but it's free on line.
67830,negative,the damned thing wouldn't play. no matter what i did i could get no sound from it. junk and hate the program as well.
60571,positive,great to be able to get a copy of this still. we needed xp for some programs that can't be run on 7.
104902,multipolarity,"software is ok, but have never been able to get the gps locator to work, even with the help of ms.  i'll stick with garmin for gps, and use streets and trips for trip planning only."
6716,positive,this is a great thing to have on your pc. a lot of fun for the kids.
1187,positive,"just what i've come to expect from microsoft. does some things better than it's predecessors, other things not as well. touch screen interface is almost as good as apple's; much better than windows 7!"
133278,negative,very poor product. custome service not much better. don't even think about using it on window xp. buffer underrun errors constantly. i switched to nero 5.5. and have not had any problems so far.
127871,negative,"look, it's gets all your files transferred, but don't count on the programs... i think the price doesn't properly reflect the value."
75768,negative,i'm new to fritz.  heard a lot about it.  the problem is i don't know how to use it.<br />i thought there would be an instructional introduction to it in the dvd.  it's useless to me.  very disappointed.
106467,negative,"it was really complicated to install and couldn't install it on my father-in-law's computer. we ended up not even using it, and i donated it to goodwill! unfortunately, a waste of my money."
16380,negative,this program is not worth buying.  don't waste your money.  i recycled mine.
132413,negative,don't fall for any rebate offers roxio advertises.<br>it's a farce.
29107,negative,"i was wrong it will not work on window's 7, only on windows95,sorry for the bad info"
129062,multipolarity,"it's a great product, but i'm not sure it really benefits anyone to upgrade to it from fairly recent versions."
52416,negative,"a lot of settings don't get moved and several applications needed to be re-registered.  it should also warn of incompatibility with the new os. notification worked well, however."
45571,positive,better price through amazon than buying directly with mcafee. no problem getting the software to load properly. loaded it twice. once  on a computer running windows 7 and the other running windows 8. both times it loaded perfectly.
80790,positive,"i find that dragon is a great help in my writings, and i love it that it spells correctly, punctuates, and everything is done correctly."
85946,positive,"the dragon naturallspeaking premium 12, english arrived on time as scheduled and it appears to work as it is supposed to do. we just have not had time to exploit it to the fullest - seems to be a great product"
3322,multipolarity,on a complete restore the registry was corrupted. my windows 7 64-bit pc would boot but the registry keys for all of the applications were corrupt and no program would run. a great idea but it needs some work.
52720,positive,the great service i received when i could not down load the program.  i only had it a few weeks so i hope it is doing its job.
16144,negative,"it's terrible. it doesn't understand basic words. there's no way i can return it because once you download it, they say it's yours. i wish i never bought it."
130201,negative,"this is not like the other spy fox games.....it is only an arcade style game.  my 6 year old likes it, but gets bored quickly.  if you are expecting a great, complex, problem solving type game like the other spy fox games, don't buy this one."
95837,negative,"i bought this hoping to mix some music. however, i got a cd with no id code for the the product. it keeps on telling me to buy the product. what's the point when i already spend the money. don't waste your time. buy something else."
62282,negative,i've tried it on 2 different computers and it doesn't work properly.  it types whatever it wants and very seldom types what i say.  i spend more time correcting what it typed than i do just typing it myself
60871,negative,it worked great for the first six video then it took a sum .even the support pop up decided that it didn't want to work. time to look elsewhere. this is a waste of 49.95
114960,negation,i bought a filemaker pro 5.5 but when i received it there was no installation code.  this is totally useless to me without the install code. help!!!
115237,negative,this is an essentially non-functional program that will waste hours of your time. you're better off learning a new program for spreadsheets and charts.
39865,positive,"once you understand it, it worked great for me and save money by doing it myself.  used to use it years ago and now am back."
101844,positive,great product   great price also   thanks for getting it to me on a timely basis   would deal with again  ciao
9871,neutral,it wasn't what i expected it to be.
41201,negative,wont work on my computer.wasted my money.need to find someone else to do the computer work.do you know of someone.
76046,multipolarity,unable to download<br />tech said return it<br />would not want to try that version again<br />sorry but it is the truth
54804,positive,this product has been and continues to be an excellent tool for my company.  it is user friendly and easily modified.
85608,negative,this darn thing froze my computer.  i can't get the disk to work ad i can't get it to uninstall from my computer.  maybe i just got a bad disk but from the 1 activity it lets the kids do it is not worth your time or money
130827,positive,"allows fine tuning, lets you set the degree of erasure you want and keeps everything nice and clean.  great tool - easy to use - i run it daily.  allows selected cookies (password, signons, etc) to be unaffected."
110843,negative,"save your money!  there's plenty of free software out there that will play internet radio and tv -- you don't need this software.  if it sounds too good to be true..it is.<br /><br />try \\""miro\\"" - it's better and it's free.  google it. ;)"
64658,positive,great collection of national geographic magazines. i just wish it came with an update to get all the newest magazines too.
98408,negative,"when i was using this, i can't split audio or music, it's not showing me at all, this is the worst software ever, it won't show me how to split audio, so stay away from this software, don't buy it"
122164,negative,don't buy it - power hungry - lock ups - makes your computer worthless - i used it one day and couldn't uninstall it fast enough - i can't say enough bad things about it - what a waste of $50    james
28309,positive,works great and looking forward to windows 10--  windows 8 is terrible
69211,positive,"this software is truly amazing.  the people that designed it are great thinkers.  when i use it, it gets easier and easier."
8534,positive,good product!  ease of use!  does the basic and a little more with detecting a virus.
53733,negative,"this software was only $30 but it doesn't do the bones and other features that are advertised for the full software package.  good tutorials, but it really leaves out too many basic features."
39474,negative,not very user friendly i think i wasted my money on this software
97302,negative,company takes money out of your bank account without authorization.horrible product that doesn't work at all. the free antivirus works a hundred time better.
33290,positive,worked good. mcafee upgraded once downloaded on computer.
111199,positive,good product.  not as good as microsoft but gets the job done. can't complain.
95679,negative,i thought this item would have more bells and whistles to help me. the add-on feature is a dinosaur... get with the times and create a download that's automatic.. a waste of money. i'll have to make do.
131969,negative,"i went through all the math programs, and finally bought this one, then it would not work on my computer. all i get is a blank screen. i have dsl and xp, and it will not run.<br />don't waste your money."
72608,negative,had this program yrs ago and it was easy to use..  was happy to see it and ordered..  can't figure it out..  not so simple..  wasted my money..  will never use..
128560,negative,a big waste of time and money. look for a better product. it will work part of the time and just frustrate you the rest of the time. i have had more luck with 1click.
96813,positive,"good game for your pc. if you like playing scrabble as i do, you'll enjoy this product. hours of enjoyment"
82952,negative,i don't see the state software and problems in updating the federal as well. i wouldn't recommend this product at all.
40132,positive,excellent price and product
75649,negative,"was used and did not load correctly ,told by microsoft it wa obsolete so the dont support it , an go to forrum for help.<br />bad registry keys. had to send it back ."
24447,negative,purchased the game some time ago and it wouldn't load. never received a refund from the seller. not even sure who it was now.  don't waste your money.
45552,positive,my sister was looking for the perfect size olive bag. shes very picky about her bags. i took a chance....it was a hit!<br />thank you!
105817,neutral,i have had this product for about a week. i am not a good typer. i hunt and peck with two fingers and miss words. i thought getting this would help. i am typing this by hand because the product sucks.
73093,positive,we've been using turbotax for years and it is very good. it is user friendly and we've had no problems with it.
104888,negative,"i returned this product, company out of country (china) could not contact without a authorized number, cound not register and could not get product to work,  very bad product, please don't buy."
44258,negation,"the disc would not play on my tv or dvd player, and there was no text in the package, as advertised."
59476,positive,"although not much was changed from lightroom 4 to 5, it is great to use the new settings! the clone tool is especially great! lightroom is so easy to use and figure out and can make such a difference in photos. highly recommend this software"
123476,negative,i bought this a couple years ago and never got around to using it.  today i installed it on my new vista machine and it doesn't run on vista.
1180,negation,the disk does not work. i need to return it.
10600,negation,"the product is not even a little backwards compatible. their customer service is very obviously outsourced, and the english could not be more broken. i'm not surprised, just disappointed."
99668,negation,"i have tried dragon for 10 years. it crashes everytime it gets trained. it takes days to train. do not buy!!!!!!!!!!!!! i thought computer was not good enough. now with new computer, i know it is dragon"
133502,negation,"this program is not compatabile with many instruments. it is based mainly on certain instruments, therefore it only works on five out of twenty people"
93409,negative,i could not get this software install on my couputer. i got online help and it still would not install on my computer. waste of money now i do not know what the problem was.
28269,positive,"good job, on time, complete, new, congratulations!"
134184,negative,"i thought i wasted money in getting games.  now i think i have wated money  in getting yet another useless ms product.  all the features provided in  the me version are either available for download free of charge, or are  utterly useless"
87749,positive,"great piece of software!  now that i'm retired, i decided to take on a part-time job that requires me to do quite a bit of driving, and that entails me routing myself to save time and gas on a daily basis.  this software does the job perfectly!"
130545,negative,probably the worst program known to mankind. will destroy your computer. consistently crashes and renders other programs inoperable. don't know why gates isn't in jail for this one.
29812,negative,was not clear this was not mac compatible. waste.
74446,positive,this is my third-year subscription. it does all that it is supposed to do. i have not had any problems so far. great product i recommended to my friends.
128355,negation,i would not buy it!  hard to use. my machine runs slower since the install.
107651,negative,"i spent a couple hours using this. very simplistic, you can't alter many things, just a very basic program.  but that doesn't matter, because i spent two hours and couldn't get this to burn a dvd. utterly worhtless"
70075,negative,"never purchase this product. many wasted hours only to be treated poorly and denied a refund!<br /><br />i requested a refund every day for for 9 weeks only to get left on hold, disconnected and passed around."
30221,negative,"the responsive web design video played fine, but the bootstrap v2 video flashes like a strobe light...highly annoying and i was refused returning by amazon!  waste of $50!!!"
83062,multipolarity,"omnipage makes good products that i have used before, but this product did not play well<br />with my scanning, ocr system. i would still recommend this product to users whose<br />system was compatible with omnipage."
91910,positive,"i have a 3 year old laptop that was running sloooooooooooow, but since installing and using system mechanic everything's back to it full speed, great product!!!"
99501,positive,the excel 2010 training video is a great product. it is easy to follow and is truly helpful. i have tried other excel cd's but have not had much luck. this product is well narrated and easy to follow. you will not be disappointed.
76694,multipolarity,"pretty nice card program, i did prefer the older version. it is easy to use, but i would have liked more sentiments for cards. i did think the older program had better graphics this is one of the best ones available now"
41492,positive,"worth the extra cost to have both products to sell you product!  easy to use, great presentation!  you will make your money back!"
104018,negative,this software is horrible. it is so slow. it locks up and corrupts your data. the tech support doesn't solve the problems. it crashes all the time and then it won't let you open your file because it says it is already open. stay away!
70722,multipolarity,"this game is okay, but i didn't care for the &#34;hidden objects&#34; part of the game.  it wasn't very challenging."
14103,negation,"i was unable to use roxio toast 9 since the hd-bd plug-in needed to author dvd's is no longer available. the hd-bd plug-in is not included in the toast 9 software, as it is in toast 12 pro."
106131,negation,"as i installed this os in fusion on my new 27\\"" imac, two files did not install.    i have applecare and plan on contacting them soon with regards to this problem.    allan r"
106060,positive,great product. i have been using ms office for mac since it was first introduced. this a full featured program. my big complaint is trying to figure out where things are located.
19783,positive,great and useful for my husband
68085,positive,just ordered a windows 8 computer.  didn't come with an office program so ordered this one.  i am not a computer person but installed it myself and seems to work great.
83918,positive,we bought this for our niece and nephew for a christmas gift and it's great.  easy to use and set up.
63684,negation,had to return it because the software was used not new as advertised and could not be activated
37373,positive,"awesome value, awesome product, had some issues at first, but they where solved. meets my expectations ;)"
25591,negative,waste of money it didn't work
62491,neutral,"game is just ok. some graghics are nice (scenery), others are out-dated (people). mouths do not move. the story is a who done it. to many questions asked by the detective. i knew who did it half way through the game."
92654,negative,"i took a very long time to install because it wasn't a microsoft authorized copy. i did get it on, but the computer says i have to register it and that doesn't work. so, i'm not sure how the software will turn out. ron"
55072,negative,product does no recognize natural speech any better than previous versions. it is slow and awkward to train. i am completely unimpressed with this software. such a waste of money!
5775,multipolarity,keeps updating automatically.  takes some time to download but good coverage.
131968,negative,"the software doesn't allow you to burn multiple copies!!!  you have to copy then burn, then copy then burn, etc. and so forth. it doesn't say, \\""would you like to burn another copy\\"" or anything to that effect.  it does work, however."
32131,positive,"nice, easy to use program. inconvenient to share data with people who do not have the program."
92936,multipolarity,"good for the price. old fashioned programing style. more like my children used. i bought it for my grandchild. she does like it, but goes for the flasher programs she owns first."
110002,multipolarity,"i am computer smart and good at learning new software, but have no accounting experience. figuring out what to do here is not easy. i think i should have bought quick books."
11447,negation,"i could not install the state tax portion into my windows xp-pro 64bit system from the tools install/reinstall, when running your deluxe + state. your software would post a long error message and refuse to go further. i am going to ask for a refund."
131431,negative,what the box doesn't tell you is that your drive has to be supported for the software to work.  my drive was not.  installation was a total disaster.  a virus would not have done as much damage.  the promised support was nonexistant.
121655,positive,"this product is a great way to build your family tree, it includes online support as well as customer service people."
122504,positive,"excellent product.  easy to use and fast.  i use it on a mac,"
106830,negative,very hard to use. had a very frustrating experience trying to figure it out. i wish i hadn't bought it and wasted my money. can't believe apple supports crap like this!
114210,negative,i made a big mistake with this product. the new mac's don't come with floppy drives. the product was advertised on cd and that was false advertising. just stay with iworks that is made by apple.
38291,negative,"what a piece of junk! returned. does not work. please don't bother. thank god, amazon refunded the full amount."
105869,negative,account control is more trouble than its worth.  i have to run everything as an administrator.  if i can get a program to install it doesn't want to run afterwards  i would strongly recommend staying with xp or trying linux.
20624,positive,"as always, amazon.com does it again! great products, great suppliers, great prices!"
25069,neutral,"graphics are bad, and takes way too long to groom the horse. the best horse game is barbie horse adventure riding camp, awesome graphics"
47065,positive,needed because i could not find my copy because i had to do an amended return.  work great out the box.
16810,positive,"i had elements 9 and this is a nice jump forward. so many features, that it will take me some time to learn the finer points."
133188,negative,this product has yet to yeild any possitive results.  the company has poor online support for its product.  don't waste your money - the internet works better.
64855,positive,great product fast service and great price got it for my grandchildren. its so easy to use and they love it.
14036,negative,"this is for the 2014 version.  if you have a mac, it will not let you print unless you upload your data to intuit's servers.  apparently the windows people don't have this problem; i'm not sure why.  i will not be using their software in the future."
94176,positive,"great product easier use and good price,the best chess program so far,the strongest engine,i use alot to analyse my game"
7883,positive,"excellent seller, very good product, thank you."
91845,negation,unable to use it because my computer at school does not have the correct drive to accomodate it.  very disappointed.
23684,negation,the version i received would not run on windows 7
61398,multipolarity,"as a reluctant web developer (i have far more interesting things to do, but the business needs it) i hated the evolution from frontpage which i found far more intuitive."
36879,negative,it doesn't work on hp windows 8 laptops.
77924,negation,this was not the right product.  the product that came was not what was listed on the description.  boo.<br />rip off.
88440,neutral,unfortunately i never received this item so i can not give a fair review. however i had looked into this item to help my child with reading comprehension as i have heard good things about hooked on phonics.
100189,positive,does a creditable job with snowleopard mac os.  compliments photoshop. happy with it. amazon provides good vendors and  competitive pricing.
81133,positive,"had to redo an old pc, dreading win 8 so i got this to fix our issue. 7 is good, will stick with this as long as i can"
124842,neutral,it provides basic knowledge of the language through games.  it complexity is that of about a grade school.  it uses visualauditory teaching techniques that really work.
115723,multipolarity,"lots of fun to read now that i have every issue i was missing! the only thing i hate is the big marvel logo in the back of every page, it can get annoying at times but otherwise a great buy."
9594,negative,"i'm not sure why this product came without a product key, but it's pretty much useless without one. it didn't say this was an upgrade only product, and the people behind the phone at amazon.com sure don't know anything...."
123338,negative,i was disappointed with this product. it is mainly just text for the students to read. there is no audio for the lessons. some lessons do have a demonstration but most don't. it really isn't much more than a text book on computer.
76917,negative,it kept saying i didnt have enough memory i wasted a hundred bucks i should have gone with my gut and got window s 7. i wish there was some way to exchange it for windows 7
130458,negation,i could not get it to download onto my computor no matter what i tried.
89306,positive,"we have three laptops and always have to protect them, im not a big fan of macafee, so i like going with norton, they are easier to understand and are easier to use!!  making it a nice way to protect our three laptops!!!"
73803,multipolarity,"the sound skips continually through out the training tutorials, it is very distracting. i would order another one, but i am afraid it would be the same."
60325,positive,i am a novice at computers and i wanted to copy some cds.  this was easy to load and is a great price.  i would recommend this for anyone who wants to copy cds.
47436,positive,"excellent performance, seamless operation for window 7. excellent function working on dual displays. a must have windows 7 emulator for mac user if you can't not throw away old windows applications and data."
2050,negative,"window the photo comes up in is small, and i don't see a place to expand it"
90620,negative,would not boot up my vista 64 bit computer. waste of money. there must be a product like this that will work but i have not founed it. if you have recomendations then leave comments.
17292,negation,turbotax has suspended  ma in state returns due to a security breach...no update as of yet
102423,negative,"stay away from this supplier. bad products, with no customer interest.  have limited email with bayview on having refund or cd replaced..have an issue with no feedback, they have yet to correct the error??"
58098,neutral,"arrived with no box, which was disappointing since i bought it as a gift for my partner. the product itself is good, however."
130273,neutral,this has improved greatly in a few months - seems their servers were having problems with corrupted downloads - now all is well and this is back to being a top notch program...
57958,positive,nothing really to review. it works great and easy to install. everything that is on the description seems to be accurate.
