id,review_body,sentiment,vader_score,textblobscore,weighted_sentiment_label,weighted_score,prediction,hybrid_label,hybrid_score
59595,my computer came installed with windows 8 i absolutely hate it. going to have to pay for windows 7... smh,negative,-0.771,-0.8,negative,-0.783,0,negative,-0.891
42598,"worst release of windows ever, although win8 makes a good arguement for that title too. atleast win8 doesn't hog resources & starts faster.",negative,-0.296,-0.15,negative,-0.238,0,negative,-0.619
129475,i bought this at office depot and i fell for the low price.  easy review folks - it just doesn't work don't buy it,negative,0.202,0.217,positive,0.208,0,negative,-0.396
83182,don't buy this product if you need to file for an ev credit (form 8936).  incomplete product.  according to the customer service representative the only way to file and get this  credit is to print a copy and file by mail.  poor product design.,negative,0.361,-0.2,positive,0.137,0,negative,-0.432
78832,"this product only works on really old computers, so don't try to use it on anything later than windows xp.",negative,0.0,0.033,neutral,0.013,0,negative,-0.493
22194,doesn't fit into my laptop.,negative,-0.276,0.4,neutral,-0.006,0,negative,-0.503
56551,don't waste your money.  used it for presentations but it left me holding the bag one to many times.  lots of bugs.  crashed 3 times.  they released this way too soon.  its also is very slow.,negative,0.17,-0.023,positive,0.093,0,negative,-0.454
29791,rated f on the better business bureau    don't do it....they will auto charge you.  do the research.    [...],negative,0.44,0.5,positive,0.464,0,negative,-0.268
131878,"don't be left out with what 99% of personal computer users enjoy.  stick with the mainstream.  be part of the masses.  windows xp is faster, more stable, and has more options than mac will ever have.  why should you feel left out?",negative,0.807,0.233,positive,0.577,0,negative,-0.211
133810,please save your money and don't buy this version.  i shelled out the $.. to burn vcd's and all is does is hang.  version 4.1 works fine.  the extra money you spend for all the new bells and whistles you might as well just set fire to it.,negative,0.718,0.184,positive,0.504,0,negative,-0.248
12687,"it's a piece of garbage, doesn't keep my tea warm.  my 10 year old plug in unit works much, much better.  don't waste your money.",negative,0.73,0.25,positive,0.538,0,negative,-0.231
108852,"microsoft has discontinued this program, and offers the new, free program in it's place. security essentials is the new name. don't buy this and waste your money. google the live one and see for yourself.",negative,0.44,0.118,positive,0.311,0,negative,-0.344
