ID,review_body,sentiment
20,South Carolina top cop helps white supremacist suffering from heat during KKK rally,irony
51,Good morning! And you were on your way to work to make a few bucks!  Ha! Hope you had a steamy hot golf filled weekend.,irony
76,Amazing to read countless articles written by supposed 'experts' who claim that Western policy in the Middle East makes sense.,irony
93,Grind mode engaged thanks to some help I'm back on my dome    won't kill you manolo shoot that piece of ****,irony
96,"my mom came visit me... I can always count on her when I want to feel good about myself, such a confidence buster !",irony
131,Greatest  ever? A Colombian buying Mexican sweet breads at a Mexican bakery that's playing Colombian music on,irony
181,"Huh.    sends a lot of ""we really care!"" emails, yet doesn't reply to customer service inquiries about the lack of shipment...",irony
199,"Well done Mr Joe man. You did a gr8 kick into dat net thing. I am impressed dat u can kick so good goals! goal keeper for life, lol",irony
211,Not a cloud in the sky on the day I become a member of the   (thanks to  ),irony
213,"""Your Local Labour Team - listening to you"" Really?",irony
217,"""Your Local Labour Team-listening to you"" Really?",irony
219,"You gotta be a student to be a great teacher, sometimes u gotta be a follower to be a leader.",irony
232,and you know they'd love the twist of the one being chased is really a gay puppy,irony
234,You really should read some history. No British occupation no IRA!,irony
247,"""You're a fool if you really think you can make that judgement with the information we have.""",irony
249,"I guess they can't understand we look good for US not them, but then again lack of understanding is the problem",irony
266,It's amazing to go to a show in Nashville and hangout with people you don't know that happen to be from your hometown.,irony
277,The end of capitalism has begun    great article by,irony
279,"People need to just stop using  when it's actually . Looking at you,  . Use your voice for good.",irony
282,Being told I have to teach 'British values' by the same government that is undermining the NHS and the BBC,irony
306,We don't need another soldier in the 21st cent culture war. Focus on running your charity please.,irony
324,Thomas. Have a beer. Calm down feller. This isn't good for your health,irony
327,happy birthday to basically the most loved girl in all of Charlotte  lol ily and have an amazing day char💖⭐️,irony
342,If China is expressing their great arrogance of not minding the arbitration process and then right now asking our govt to back out?,irony
343,Brilliant idea :,irony
352,Site for the unfaithful gets hacked. Did they really trust in the relationship they had with the site.,irony
393,"As long as you are looking to feel whole from a partner, you are NOT really ready for a partner.",irony
404,moment of my day:  news alerts me to a level 3 pedophile in the area with the last name of Grope.   but ?,irony
436,had a good hour at the gym but debating on pumping out another because  is on tv above the ab machines.  .,irony
472,"Yes, very true. However, this post was about those issues in Tanzania - NOT anywhere else. So there's no  really.",irony
478,Really? With a show like that?   : The creators of  aim to keep entertainment lighthearted,irony
480,It's really sad when you have to think about buying yourself a gun for protection from the cops you pay to protect you.,irony
483,Isn't it amazing its our eyes which tells someone how much we love them and sometimes it just lie :)    Aditi &lt;3,irony
501,dying laughing as  idiots try to stop  from taking trademark idiocy too far. Good luck !  or ?,irony
535,thanks 4 the acknowledgement &amp; will do. By comparison my  experience was brilliant,irony
555,I really love OS X. This is a revolution: you don't need to type any password to become root (super admin),irony
565,"I really hope that tweet was from the person who found your unlocked computer, and not from the real you",irony
581,.    I just love it when   starts bashing farmers &amp; ag practices he doesn't understand.,irony
614,Haha. This really just happened.,irony
626,Watching Trainwreck then realizing my life is a train wreck,irony
634,Ppl share once their physical health is not good. Why ppl never admit that their mental health is not good.,irony
649,Twitter ID  intended? &gt;Can't&lt; Bike Ride  ?  though. Hope good turnout! Cycling = future.,irony
668,"how amazingly you taught Indians, we were doing it right all along.",irony
693,PERRY COMO: The bluest skies you've ever seen are in Seattle  WEIRD TWITTER: nice   bro. Who did this fam???? 😂😂😂 It me,irony
709,"got an award for ""Most Spares"" in 5th grade bowling. great at the time but now it's a slap in the face",irony
715,Spare a thought for progressives in America who have to praise Bill and Hillary Clinton as 'outstanding' for lack of any others.,irony
737,Thanks   for allowing me to listen to podcasts on sleeping and eating while I went for my long run today.,irony
753,at   well done   amazing show! 👍,irony
765,Citizens United made it really easy for grifters to use a  campaign for book tours and speaking fee Viagra.,irony
788,Didn't someone say the other day how they heard good things about and from Über?,irony
790,I'm cool with deep fried things.... But Slim Fast Bars is going too far.  ?,irony
793,Bad thing - our website has crashed due to the traffic. Good thing - our website has crashed due to the traffic.,irony
825,Oh goodness. An alligator just ate a nuetria rat. Now he's coming for me. About to do a death roll.,irony
