ID,review_body,sentiment
46463,"it's great except for the fact that you cannot use it if you are outside the US. I have a couple of laptops in Europe, but I could not download it them. So I had to bring then here to Install the software.",negation
67275,"I called to technical support, because the equipment did not worked correctly, and technical support stated that my computer need to update the drivers. Technical support never help me to resolve the problem.",negation
32611,"I can't figure it out. not happy, thank you",negation
19173,"Not as good as last years TT deluxe, forced to up-grade in order to complete my return with same forms used in last years TT",negation
118735,"I´m a little disappointed. I thought it would be faster, although is easy to use. My lap-top accomplish with all the specifications, even so it does not run faster as I thought.",negation
90993,"Yes  I  know it  is for  absolute  begginers, but I was  expecting more  information that just some  rules  and  learn to  move  pieces.",negation
38332,"Works with Windows 8.1, but is user unfriendly and OVER KILL.  Why can,t you just make Quick Verse 4 that works with 8.1?  Never been a better bible program than QV 4, period.",negation
24462,"Couldn't down load, found another on line to down load for free.",negation
21630,"Have spent hours trying to install this software.  So far, no luck, but still working on it.  I expect to love DNS if I ever get it to install.",negation
97528,dose not work with my program but i'm keeping it till i get the right program to work. bought this so i may communicate with my tenant in the trailor park i run.,negation
96079,Bought this program and am thoroughly disgusted.  They don't answer your e-mails and support is NON-EXISTENT.  I think they must be going out of business.<br />Like I sad.  Save your money.,negation
115032,mabya 5 year old could hve done better a no buy maby creatiors would be better at truck driving.,negation
71589,"The disk did not work. The seller processed return and refunded. But, for gen 2/3 NAV it is very particular about the disk. Only original from the Lexus dealer seems to work. Backup copies may have a different format or type of media.",negation
63566,I am unable to maximize screen and still use menu.  I am not fully satisfied with this product. Not sure if the tutorial is compatible with Windows 7.,negation
129874,"Art Explosion is a valuable tool for clip art basics. It could use more silhouettes and less cartoons.  <br /> <br />The image library book, however, does not coincide with the discs!",negation
72933,I bought the wrong one<br />Am not a masters player<br />and this one chooses what game I am playing in<br />I like to learn slowly<br />This is more for the very best bridge player<br />Sorry Noelle Parker,negation
93443,"The product was not what I expected. I am still attempting to understand how to use it. I do have a BSCE degree, but this software is not user friendly... :-(",negation
123472,This product is not very user friendly. You can not change the back ground color or the print color,negation
130570,MB Deluxe 16 will only run under an administrator user account.  Borderlund should not be selling this product for OS X until they correct this problem.,negation
132349,Installed TT yesterday BEFORE reading about the C_Dilla spyware. I am going to return it to the store and get Tax Cut. Why would TT do that? Activation is one thing..but collecting info? I hope I do not need to reformat my HD to get rid of C_Dilla.,negation
113243,As this is the first personal financial organizer i have used but being fluent in software data applications I do not find it necessarily very obvious in what to do to set up billing.  Ad hoc bills in particular are difficult to work with.,negation
66185,"I had a hard time getting it to run at first, since it was 2nd hand. But, I'm using it now and it's fine.",negation
126157,"This software is very hard to use. The help video goes too fast, the manual doesn't cover everything and nothing is intuitive. I have used a lot of software and this is just not worth the money.",negation
99318,"Yes...It says by \\""HP\\"", but I suggest additional wording to alert everyone that this software in bold letters or the description will ONLY work on an HP Server - No exceptions. Frustrating at the minimum.",negation
3451,Did not work at all. Got to 6.662 GB processed before not doing anymore. Trying to stop the backup just locked up the computer and had to force restart,negation
15708,Unable to get it to load up on my computer.  Would not buy this again!,negation
126028,"I couldn't even get the program to load on my computer.  I even downloaded the long version of the user's guide from the internet and tried point-by-point, to no avail.  Step away from this software.",negation
112183,"Upon putting the CD into the computer: nada, nichts, nothing. The CD was faulty. It would not work in my neighbor's computer, nor would it work at the computer repair shop. Amazon returned my money promptly.",negation
92509,THE PRO WAS NOT COMPATIBLE WITH WINDOWS 7 AND WAS USELESS TO ME.IT WAS THE OLDER VERSION<br />WOULD NOT REORDER<br />THANKS CHARLES,negation
24698,A waste of money. It never worked to update the GPS. Trying to load it it said it was blank.,negation
128948,"The boxed set does NOT include a Mac OS X version. If you want that, you should buy the separate version specifically for OS X. The windows version is actually not as featured filled as the OS X version.",negation
10212,Disk did not seem to work for me.,negation
78659,"It does not do what my older version, the Roxio Creator 5 accomplished. I wish I was able to get what I had before which was simpler to use and accomplished exactly what I set out to do.",negation
66953,It's okay but it still has trouble following me when I start talking fast.  I don't know if it is the software or my older computer.,negation
105493,Couldn't get it to work. It had nothing to do with my PC. Runnning an Alienware PC couldn't figure it out but didn't bother to figure it out. It was a cheap game.,negation
2535,I had the previous windows 7 and had to get this one when my computer crashed.  This one does not let me use my printer/scanner the way I was used to.,negation
58258,Would not load on my computer.  Platform is Win. 7 Pro.  Purchased Adobe Photoshop Elements 12 and Premiere Elements 12 which loaded and is working well.,negation
75014,Tried to get this to work and even called Turbotax and it would not. Had to buy another. Will switch to another tax program next year.,negation
74683,Quiken 2013 has NO LIVING TRUST. That is the only reason I bought this . Why doesnt a WILL MAKER HAVE A LIVING WILL!!!???,negation
74961,I would never have bought this product had I known how unbelieveably slow it is.  It takes hours and hours to export files and to edit images.  I don't know how any photographers can use it and work efficiently.,negation
70466,"its okay, but sucks trying to switch back and forth between it and mac. I found it difficult to download, and whenever my computer started it always reverted to the pc version instead of to the mac.",negation
59779,NO reciever to plug into computer...wireless mike a bad joke...HURT<br /><br />Sent several hours trying to make work. No luck...friend showed me his set up...oops...,negation
108722,This program came with little to no instructtions.  I am unable to display but only a very small part of a spreadsheet.  I wish I hadn't wasted my money!,negation
26530,don't know how it woks sine I am not as adept with Linux as is needed,negation
35908,Never got it to work. Tried it in several laptops. None of them could read it.,negation
1142,CRAP WOULD NOT LOAD W/O CD DRIVE,negation
11528,"I guess I didn't read it fully, It does not have a downloadable Outlook so for the price I paid I am very disappointed",negation
38718,lots of email traffic but as of right now NO resolution.  Where is the security key for this CD?,negation
128452,I do not have a .mac account because I have my own domain. And all the feature in this DVD is something you can use with a .Mac account. iPhoto is fine OK update.,negation
4164,This was not legitimate software,negation
43004,Don't buy it!!!!!!!  No change to download on the McAfee Website. Total Protection 2014 is waste. I never buy something by McAfee.,negation
66926,did not work well---support gave my links--links were poor took multiple times to delete old version-- still dealing with fragments--- sight to load new version keeps saying server buzy,negation
7127,Not able to provide feedback.<br />Mac version sent in PC packaging,negation
48687,STAY AWAY FROM NERO PRODUCTS.  I HAVE BEEN TRYING FOR OVER TWO YEARS JUST AS A CHALLENGE TO GET NERO 10 INSTALLED.  PRODUCT SUPPORT IS BAD BAD BAD.  I AM USING OTHER PRODUCT WITH NOT PROBLEMS.<br />CHECK RATINGS AND BLOGS BEFORE YOU BUY.,negation
81320,Only good if you send invoices and have payroll.<br />I have yet to figure out how to set up the categories the way I need them. Not easy to find the method to set up for straightforward Tax Schedule (A - E) categories.,negation
45601,"The Saller is a professional person. He treated me as good as a saller should. BUT  THE SOFTWARE  WAS NOT USEFULL TO ME. GO THE WEB AND SEE YOURSELF. IF I KNEW, I WOULD HAD NOT NOT NOT PURCHASE  THIS SOFTWARE.I SAY KISP.",negation
19662,Cannot install on my Windows 7 computer even after trying multiple solutions,negation
95413,this game is no good i give it an F this game i only downlod it once and it dont work,negation
68496,"How can you go wrong with this product.  Good price, and the best 3 PC.  Nothing to complain so far.",negation
49948,"Simply said, this product doesn't work. I have used it and practiced on it frequently in my work and it does not seem to accurately recognize even the simplest of words.",negation
62562,It Did Not Work What The Hell Is Steam I Wanted Just Train Simulator No Other Garbage This Is Fraud.,negation
45050,It was okay - was hoping for the newer Reel Em In slots.  I was not that impressed with the product,negation
89963,"This loaded on my laptop, but would not load or run on my desktop...cannot reccoment this for non-computer literate people.",negation
38876,"The graphics are really sub-par, they haven't been updated since this was originally released in the 90s. The user interface isn't easy to use, either. I would not recommend this.",negation
3754,brought the wrong package and cannot use this,negation
99464,It has been two days now and I can't get the product key online.  Why Microsoft decided to have a product key online?  Probably to punish the paying customers.,negation
44898,Bought this program to learn how to make greeting cards. Haven't quite figured out all the in's and outs. Not sure whether this is my thing but going to give it a try. Seems to have all the things to get started. Good for Beginners.,negation
94812,"This product is only good for 14 days.  If that meets your needs, great.  It didn't meet mine.  I would recommend choosing another offer.",negation
119582,Runs too slowly and has too many issues so far. I will try to tweak it more than I have (presently should have enough ram and disk space). Anyone have any hints how to speed it up?,negation
113115,Have not installed the program yet as I still have two weeks on the download version. Beware of Norton's policy of automatic renewal as it took thirty minutes on the phone with someone who did not speak English to get out of it. RFG,negation
92711,"Would not buy again.  Very unhappy, put on 2 machines and they both got some kind of bug and I had to get Avast to clean them up.",negation
36076,"When I first got the product, I didn't know that I would have to update it to train simulator 2014. Also once I did update it, it wouldn't let me run it on my computer. Not happy at all",negation
4789,The Pages app is not compatible with new Pages documents.,negation
2617,"I cannot use this item because I was not provided a serial number.  In addition, Adobe has no information on the purchase so they cannot provide me any help.  Complete rip off!!!",negation
101685,This product is not compatible with Windows 7.  The listing said it was compatible with Windows and didn't mention this major limitation.,negation
15863,"codes did not work, but easy to return",negation
131811,Despite what it says on the review this does not work on Windows XP,negation
77553,This program either conflicted with other previously installed internet protection programs (ie) Kaspersky or it conflicted with several important installed applications for which there were no known upgrades to overcome this problem.,negation
109261,"The product description is very misleading.  This only runs on Mac OS X Classic, 8.6-9.2.  The product itself might be great, but I wouldn't know, because I wasn't able to run it on my Mac OS X system.  Very disappointing for my child and myself.",negation
67833,This product says its easy to use...and It is not.. I wish I would return it! It's just as complicated at photoshop,negation
114067,I was looking forward to using this program. So far I have been unable to install it on a Vista computer with plenty of memory and hd space. I keep getting a 1402 error. I have looked on-line and in the support forum but have had not luck yet.,negation
8115,Hard to use.  A software nightmare. Sent electronically and was refused 3 times by the IRS.  Turbo tax was no help.  Money down the drain.,negation
82139,The CD would not run! Had to dowload from web site and use the Key. Then it worked fine. I had to call Norton to get support in dowloading but the Norton site was excellent. Still got the results I wanted.,negation
6456,This product did not work still have Wifi for lenovo that missing drivers,negation
