ID,review_body,sentiment
42809,"I got this and it turned out to be defective.  The bonus puzzle was always the last puzzle played.  I returned it, but they didn't have anymore to send.",multipolarity
13337,I haven't figured out all the bells and whistles yet but so far its very similar to the old PSP program I used and liked several years ago.  Good Price for the software.,multipolarity
30318,"Product works fine, but it's windows 8.......",multipolarity
9838,Dated software works but only just!,multipolarity
3916,"I have a hard time learning how to use. Went to you tube for help, but could only find older versions",multipolarity
31331,It works but its a pain to use.,multipolarity
23115,It worked like a charm. I loved it's features and all. But the only problem is that I have a hard time up importing characters I created with Photoshop and GIMP.,multipolarity
133028,This is by far the best Windows ever! but it dosent have Micrsoft Office so you will have to buy it extra and it takes for ever to install but other than that it is the best thing my  computer has ever seen.,multipolarity
115899,"beats doodling hands down, but a free version that is just as fun (but with fewer options)  is available as a free download, so I'm hesitant to advise buying this software.",multipolarity
27410,"Works like it always has, but way to pricy",multipolarity
109862,"The cards are cute but making changes is limited. I used American Greetings before, and you could change the text easily. On Hallmark, it is difficult to even add a name to the front and have it look right.",multipolarity
2871,"I haven't really learned all of it yet, but it's functioning well.",multipolarity
125245,"then vista will impress. if you prefer substance, DON'T INSTALL. Fortunately, I like bling on my computer...but sometimes the 'substance' part of me longs for XP again.",multipolarity
69647,its okay for the job. but if you want the latest version go to the web site and get it there.,multipolarity
24383,little problem on shipping but working great on my son's computer,multipolarity
118884,Still learning.  Had very old version I was comfortable with but worked poorly on windows vista.  Tutorials look good/,multipolarity
68426,"It works, but it is taking me forever to add ingredients, then find them as they don't appear in the &#34;find it&#34; where you'd think they would be. Thought it would be easier",multipolarity
111474,"It is very user friendly.  Great software and GPS system, but the volume is too low.  So if you are driving, you have to stop check it out.  I would say it is a good backup for your regular GPS if you are traveling constantly.",multipolarity
17084,Product works better than the government.  But the frequent ads for additional Intuit products is tiresome.,multipolarity
73772,"Though I haven't been able to get it to work properly.  I feel it will eventually, it just needs some tweeking.  But I could be wrong.  I enjoy the challenge and support the project.",multipolarity
76236,Works some times. (locks up computers alot.) requires Windows XP or older. but my son son still enjoys playing the games.,multipolarity
35093,"I've purchased several versions, but hardly ever use it.  I've been married to Photoshop Elements for quite a few years.",multipolarity
120756,we enjoy the bridge game.   cascott@acsol.com.I would like a phone  number also.I want to order somthing but cant get in   as I dont have a password,multipolarity
74626,Ok word processor but lacks the ability to open files from MS Word even though it says it can.  WTF?,multipolarity
23055,"3rd and last. Same storyline, same weapons and gadgets and most of all... SAME BUGS! Be ready for a crash Galore! Great game but very unstable.",multipolarity
98535,I upgraded from Vista to Windows 7 and thought the speed would be much faster.  I do see a difference because Vista was just terrible but was expecting more from Windows 7,multipolarity
78744,"Star Trek Online is one of those games that promised big things, but failed to deliver them. That said it is still one of my favorite games.",multipolarity
19493,It is a classic but I wish it would play on my children's computer.,multipolarity
113345,I had used this program for years but lost it when I bought a new Computer.  Simple & easy to use.,multipolarity
35141,so so....but some times works...,multipolarity
107561,"I think I write better, myself, than the help that this resume maker can offer me. I bought it, still have it, but I haven't needed to use it because I found it's assistance and formatting to be rather unhelpful.",multipolarity
7654,"It's fine, but, it sometimes kicks me out of the application when I zoom in too much. It might just be me, but it happens quite often. (Mainly because I have to zoom in a lot.)",multipolarity
25617,Really nice HUGE umbrella but the mechanism is very stiff and makes it difficult to open and close.,multipolarity
12633,On-line accessibility is worthwhile but it's missing key functionality that I had with the desktop version.,multipolarity
67195,Hard to use on my kindle. Slowed down my laptop but I guess u get what u pay for. Next time spend extra $20,multipolarity
31847,I have tried just about every security software out there and I find this to be one of the best but like the rest of them it is a resource hog and really slows down the machine.,multipolarity
108844,"I own this product, but find myself going back to EW2 most of the time because EW2 loads much faster. I maintain a website that is updated several times a day, and waiting for EW4 to load just takes too much time.",multipolarity
110029,The new 2010 version is ok but the new interface pages are more confusing than the 2009 version.  Harder to navigate through.  It's still an inexpensive way to protect your computer.,multipolarity
30025,"It's slow, the graphics aren't very good. But that's fine. What really bothers me is the mouse seems to lag and for this kind of game you want to be able to move quickly.",multipolarity
20767,"Some of the programs can hang up or become slow to load, but all in all over 5 pcs its pretty good.",multipolarity
41921,Running XP and tried to upgrade with 7 but the rest of the computer drivers were so outdated it didn't solve the issue.,multipolarity
35466,It's really for good for drawing tablet users but I wished there was updated guide book to show how to use this version of manga studio.  Great price if you can afford photoshop.,multipolarity
83679,This Quicken is for the basics functions of your daily financial control. I use to use a very old windows version and everything was easier...but for the basic activities is good!,multipolarity
132406,"As a version 5 user, I had hoped that version 6 would finally handle European and Asian languages, but it doesn't. For personal use I'm going back to Outlook.",multipolarity
61876,"I use Excel a lot.  I hate MS Word, but you have to have it because everybody else does.  Personally I think WordPerfect is much better.",multipolarity
90374,i dont understand how to use it! but i will learn its a old product. but you pay for what you get. for the price i will figure it out.,multipolarity
13685,"Big learning curve, but it is eas5 to use for quici fix on photos.",multipolarity
24129,Very basic but good for a child to play and learn from.,multipolarity
122713,"Had some issue installing it for Vista, but found the info from the support website.",multipolarity
127881,"this game has its ups and downs. it a creative game, but the only way to get money is building mines instead of getting taxes. the disasters are cool, espiacally shipwrecks and sub attacks. if you like diving, get this game.",multipolarity
1259,"Got this for my wife, a little technical for us older generation but still a good product.",multipolarity
43158,works ok but also gave me problems with some of my hardware---mouse has to be reset every start-up---things like that,multipolarity
72261,"i got this beause i sold some employee stock, but when it came to that part it was so confusing. after multiple tries we finally had to go to a tax specialist. wasnt worth my money..",multipolarity
60308,"W8 is your best friend and worst enemy.  It's fast and unreliable.  It doesn't like other programs, yet it loves you.  I ONLY stay in desktop mode so this purchase was pointless, but I had to have the latest, so I bought it.",multipolarity
51020,I have been using Quicken for years and this update offers little needed improvement over prior versions.  But with Quicken you need to update about every three years or so to keep your data in a converted format that can be read by future versions.,multipolarity
122996,Excellent product for post processing digital photos but disappointed that Adobe chose Outlook Express/Adobe e-mail only.,multipolarity
16973,"Actually, TurboTax business practices suck.  They keep cheating long time users, but removing features from cheaper versions and only including them in more expensive versions.",multipolarity
12906,"I thought this would be an easy way to do a budget, but found it very complicated, didn't use it much at all.",multipolarity
120704,This is a neat product but I was looking for something my 2 year old could draw wthout having color in a picture.  I was looking for plain paper she could draw free-hand pictures.,multipolarity
4351,"It's okay.  I like the Microsoft versions of hearts and solitaire that came with XP, but isn't found on 8.1.  That's why I ordered this Hoyle product.<br />It is just basic, but that's all I could find.",multipolarity
89886,The software is buggy when trying to stream. As of 12/28/12 this is the case. The software I am running is 1.1. But besides the stock software it is a very good product.,multipolarity
94104,"This game is alright, but I prefer \\""[[ASIN:B000922CC8 Texas Hold 'Em: High Stakes Poker (Jewel Case)]]\\"" by ValuSoft.  I just found it to be a more enjoyable game... in my opinion anyways.",multipolarity
55312,i bought this set thinking it was a buy but it tells u to upgrade to the 2014 set and it works 100% better love it,multipolarity
97111,This is good as a summer supplement but it can be blown through so quickly you can't count on it for a whole year's worth of activity.,multipolarity
41717,"This software is made for someone who has a lot more understanding of programming websites and can define what they are trying to accomplish.  I tried to build a website, but I really needed more experience.",multipolarity
89064,I love Reader Rabbit Programs but I was not able to install it on my Mac. I also tried installing it on my hp desktop I need to contact the company to find out what to do.,multipolarity
92880,"its not a peerfect match, we need a real bilingual game for German of Chinese, but as a starter vidio game for my 4 year old it fits",multipolarity
34380,Not what I was hoping for but works to keep away boredom while the Internet is down. Almost all the games are in &#34;lose mode&#34; so you have to restock your bank often.,multipolarity
69506,"IT arrived quickly, installed simple and easy. But It will not up-date past the install version.<br />I installed it on 2 machines, one was an update, the other was a new windows install.<br />I keep getting the message &#34;Databases: Obsolete&#34;",multipolarity
55017,"2013 Turbo Tax seems to work much like the previous TT that I have used(6).  I am still not happy to have to pay for (one) state filing but the product, at least for me, works. .",multipolarity
23314,Good selection of games but it was difficult to get them to load on the laptop.,multipolarity
105838,Received in new condition.  If anyone buys it they should check the space requirements of their computer in order to run the software.  I have not installed it yet but will do so shortly.,multipolarity
124347,This game was ok at first but after a few games it became boring....Even my 8 yr old got bored of this game....You can play alone or choose 2 other players to play against....,multipolarity
73119,i had problems installing qb 2013 and had some misinformation from intuit re: enhanced payroll but eventually sorted out everything and the program is fine - different color scheme and seems a bit faster and more stable......,multipolarity
53346,The email help line was amazing however the disk did not help m but I was talked through every single way of working through my problem,multipolarity
65511,"It really is slower than other versions I have used, but, overall, it does what I expect it to do.",multipolarity
42924,I set it up but haven't migrated from Google because it seems like going technologically backwards. Although it may just be that much more advanced for all I know (highly doubt),multipolarity
126352,This is much better than the previous edition but it still makes typing mistakes and you have to speak clearly and slowly in order for the software to keep up.  It does help to relieve the stress on the hands and fingers when typing for hours.,multipolarity
111679,This item was sold as new but had the wrapper off and had been run.,multipolarity
70443,Maybe it's me or my dislike of Windows software. I couid not create the<br />videos or changes to videos I wanted. The program appears robust but it important<br />that one has a capable computer.,multipolarity
128552,"It has about 9 games. They are ok, but graphics are old and not interactive. I got a used copy so not a waste, but do not pay full price. They hame a matching card game, catch letters in the basket, ect.",multipolarity
57339,this came well wrapped it was fun to play when i had a pc but now i have a mac,multipolarity
10360,the software produces results but you may not be able to duplicate them . And it has some quirks that wont let you correct data entry errors without starting over . I doubt if I will buy the 2015 edition.,multipolarity
115123,"Great old game.  Won't work in Vista64 though.  Yes I know another reviewer pointed this out, but I missed that so hopefully with two of us saying it it will get noticed.",multipolarity
42455,"I upgraded Acer netbook from 1 to 2 and installed this.  It's not a crawl but, it is still slow.  Anyone got any recommendations?  I am not a computer ace but was able to install the new memory and this.",multipolarity
66900,I like but it got really hard to complete a certain stage  so I just added it to my games link,multipolarity
108891,I do not like the continuous running of the program that you see all the time on the screen when the program is open. Not as user friendly as Norton but seems to be more effective so far.,multipolarity
7866,"Tax software is tax software. It gets the job done with some headaches. H&R is nicely priced compared to TT, but expect some glitches.",multipolarity
34007,Good product ..but they disk they sent was warped and did not load.  I downloaded the software and used the code in the box..worked fine.,multipolarity
10959,"Not as easy to use as I would have hoped, but it got the job done. I did save over $1000 by using this software than paying for someone to do our taxes professionally.",multipolarity
111616,I bought this for my 1st grade son. It is too easy and a lot of games. also it has  some simple drawing and puzzles. Kid has fun but not quite useful.,multipolarity
77599,i tryed somthing new and regreat it stay with it it may slow your computer down some but its the best,multipolarity
77761,the card games were good but I had to remove them from the computer because my hard was rraing and wouldn't slow down until I removed the game.,multipolarity
100076,"I didn't like it after first installation, but after the full install with both disks it was good. I did not want to have to put the second disk in every time I wanted a graphic.",multipolarity
37444,It works OK but found I don't use my IPAD as a laptop.  The keyboard is kinda cheap.<br />The acrylic stand is great to hold your IPHONE or Droid Phone on a desk or nightstand.,multipolarity
130918,Great product- but only contains 22 lessons. You must upgrade to get the rest of the level-one lessons (total of 92). It costs 140$ to upgrade. This should be mentioned up front.,multipolarity
80193,"I have used H&R block for many years, but I can never use any help functions because it gives me the message &#34;browser does not support JavaScript.&#34;<br /><br />I may try Turbotax next year.",multipolarity
127553,Program has good graphics but doesn't seem able to keep childs attention very long.,multipolarity
79861,"I really like the software (when it is loading properly and uploading to YouTube like it should).  I had to re-install several times on my 64-bit pc.  I did get help from Sony Support, but still having issues that I will need to talk to them about.",multipolarity
92407,"This is a very fine word processor, but it won't work on a computer with a program using an updated underlying version of Paradox. Also it won't work with Windows 8.",multipolarity
128705,"Why do people write reviews praising a product but don't address the individual fuctionalitys of said products.Advertisements? Come on, Thomas J. Wacker?:)",multipolarity
106164,I like the product OK but to install it and start the service I ended up talking to 4 different people and it took over two and a half hours. That was quite aggravating.,multipolarity
97911,Good for beginners who have no experience with photoshop but for the price and amount knowledge David Cross shares you could just find 4-5 youtube videos for free.,multipolarity
129141,Pretty good but not outstanding. <br />Clicks take time to respond.,multipolarity
70055,"I did not enjoy it because I could not get past the phone and I try not to use it and got a little way , but that was it.",multipolarity
78979,"It's office, it loads and does, well, what office does. I am not a big windows fan but had to buy this for work and would recommend it for anyone looking for office.",multipolarity
88983,I don't care for it but my kid does. Graphics work fine. some games wont play on her dell d610 laptop.,multipolarity
115452,I like the games.  You play against cartoon characters.  The game worked on my XP computer but didn't want to run on my Vista computer.,multipolarity
80904,my 9 yr old had this responce. it was fun but too easy for him. He enjoys and uses the 3-6,multipolarity
943,"It's ok, but seems to slow things down more than Norton. I feel safer with it, however.",multipolarity
7608,"No problem. I have always been using Norton products. Slows my computer down, but that is the price you pay for security.",multipolarity
49474,Have been happy with TurboTax in the past but seemed to have some &#34;bugs&#34; this year.  Hope it improves next year.,multipolarity
71587,"This game is ok but not what I was expecting.  The screens are not clear and it seems to move slow, which could be my computer.",multipolarity
73281,I like it but this is a game for kids only I didn't find it to my taste too easy but okay,multipolarity
125883,Effective virus scan and firewall but new screen interface is confusing.  It took awhile to find all the programs I allowed through the firewall and to list the details of a scan.  Last year's version was simpler to use.,multipolarity
18436,"I thought this would be great to teach the kids how to type, but both my kids find it too hard. Ages 6 and 8.",multipolarity
43314,"The label and ad showed &#34;Microsoft Word 2003&#34; (which was what I wanted).  When it arrived, the set included &#34;Microsoft Word 2002&#34;.<br />Somewhat disappointed, but it does work, so I'm keeping it. CW",multipolarity
66850,"I had no luck trying to recover my files, but I can't say it would not work if my computer was in better shape.",multipolarity
106803,"Was useful in the day, an old software now but still worthwhile is you can find it at a bargain price.",multipolarity
61830,"I do not like Windows or anything PC, I am a mac guy all the way.  BUT, some games I like are PC only....  What kind of crap is that?  Anyway, this works great with boot camp.",multipolarity
35943,"It has the software on it to get my laptop back up and running, but it was nothing you could not have download",multipolarity
67828,"Nice gimmicks but not worth the price.  LT2008 was working fine, the only reason for 2014 was so I could comm with everyone else. Planned Obsolescence???",multipolarity
65556,"I have many of the Phantom slot games so I decided to pick this one up as well.  It was ok, but nothing special.",multipolarity
96823,I don't like the fact you have to use it with lok key but the actual program is great. To use for music producing,multipolarity
38479,"I had trouble installing this from the disc, but I was able to download it from the internet.  I have used this company before and am very pleased with their service.",multipolarity
3541,"It works on native Microsoft Windows, but I'm still waiting for official Linux support (even if via WinE). Nevertheless, they do get a big plus for continuing to support XP despite Microsoft's best efforts to kill that platform.",multipolarity
18308,I have to hire someone to teach me how to use this program.  It is very complicated but very effective if I can ever figure it out,multipolarity
6971,"Was hoping for a bit more but it will do a solid if, semi-professional job.",multipolarity
19274,This game was fun but I would suggest for young girls of 13 and under!,multipolarity
2681,"I had no problems whatsoever with the version that I tried but after I purchased it, it seems to work totally different. I have to work with it some more but at this point it's not what I expected.",multipolarity
40290,"Have set it up in one computer, but one thing to watch for is it clears out all your info. and some programs that I still can't find, I wont put it in anymore computers.",multipolarity
77490,"Its not the best but u definitely get your moneys worth its very responsive and handles tablet pressure well,the color system is decent to.",multipolarity
81770,"The only reason I bought this was so I can play games. I would have rather had Debian, Fedora or Arch as my main OS, but you do what you do. There wasn't a flaw. It came on time.",multipolarity
39797,"Had to buy a new computer to handle it, but it works great as advertised. Few bugs, but very user friendly",multipolarity
77511,"I purchased this product because the kids use MS products at school (sadly), otherwise I would have stayed all MAC.  I have never loved this product.  It certainly does alot but is a bit of a hog and not as agile as MAC products.",multipolarity
99905,its a good fun game but i have it only for about a month and when i play my computer freezes on me and can take a while till i can reboot,multipolarity
59705,good concept . but key board control is terrible especially  driving  and controlling character. if joy stick could be used might work. I like the game because of the random crimes that occur.,multipolarity
59457,I like the Norton product and especially like the 360 product. I still have many months left on the current product but caught the Premier on a lightning sale and wanted to see if justified the price from the normal 360 version.  I'll let you know.,multipolarity
104214,"This programm is somewhat difficult and somewhat easy. If you had the previous versions, then you probably are familiar how it works but for me I needed time to figure it out. I can not say I would recommend it, it's just a bit too complicated IMO.",multipolarity
27321,"Memorized transactions do not convert well. Seem to work, but if you edit them you have to reenter all the split values as it has them in negative figures.",multipolarity
21,"I could not get the disk to run in my computer, but I was able to use the Microsoft product code and download the software from the Microsoft web site.  Took about an hour to download.",multipolarity
62986,"This doesn't have enough of the features that I was looking for. I should have returned it, but I kept hoping it had more potential that it actually does.",multipolarity
2920,Works pretty good but not as good as the Windows Edition (I have Parallels & Win-8 on my iMac) so I have both the Windows & MAC Edition installed,multipolarity
56387,"Not enough info included to use effectively so it did not meet my expectations, but then all advertisement is a lie.",multipolarity
97525,Lots of potential but a steep learning curve and you need to purchase add-ons to maximize use. I got a coupons for add-ons with it.,multipolarity
90209,"works great on Win 7 but will not install on Win 8, so far Symantec has no solution.<br /><br />however it will back up and restore Win 8 by booting from the CD.<br /><br />Win 7 five star and Win 8 a three star.<br /><br />Jim Winkler",multipolarity
127334,"Better than the last version, but still not perfect. And support for when their program goes screwey is an additional $200.",multipolarity
100102,I wanted to use this with my work in interior design but was disappointed.  It would be fine for someone who enjoys designing as a hobby or just learning.,multipolarity
57626,"A lot of people say I sound like the cable guy, but I'm older, and this confounded thing can not understand me. Maybe one day it will learn my accent. The price was pretty good.",multipolarity
122681,"The product is good, it takes a while to set up with YOUR voice.  It works best when you speak slower than normal, but it sure beats typing!",multipolarity
112440,This is a great program but don't buy it if you have an old computer. It won't run properly.  Not the easiest thing to use but has great potential.,multipolarity
69338,This item is good for what it is intended for. But it was the wrong program for what I needed.,multipolarity
61667,I used mcafee from 2009 till 2013 it was great but has some issue with some games on steam like deleting update and other things that all for now.,multipolarity
125820,This drive works but not that well I have to erase/format the drive after a few days and start over and when it take an hour or more to copy the music to the drive it can be tiresome over all I am disapointed with this item.,multipolarity
39377,"It's ok but it basically show you the instructor creating a game but it don't tell you the meaning and purpose of every tool, extra apps needed and words,, but Amazon did good.",multipolarity
85613,I like the games on there but I still haven't been able to play them. I keep getting messages that it won't work on my laptop with windows XP or some such nonsense and can't find a phone number to call them for tech support.,multipolarity
28296,interesting but too difficult unless one follows the strategy guide throughout which I find a downer.,multipolarity
88102,"Very detailed format and as a novice it requires more knowledge of stamp vocabulary than is available to me.  No doubt an excellent tool, but will take some time to make the best use for my purposes.",multipolarity
